"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"NIDDK",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/05/2015"
"NINDS",11,11,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/05/2015"
"All DACs",158,115,23,11,9,25,18,6,5,3,23,17,6,4,3,"01/05/2015"
"JAAMH",20,10,4,6,0,4,2,1,2,0,4,2,1,2,0,"01/06/2015"
"NCI DAC",18,6,12,0,0,6,5,1,0,0,6,5,1,0,0,"01/06/2015"
"NEI",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2015"
"NHGRI",15,10,5,0,0,6,5,1,0,0,6,5,1,0,0,"01/06/2015"
"NHLBI",8,3,5,0,0,5,3,3,0,0,4,2,3,0,0,"01/06/2015"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2015"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2015"
"All DACs",67,35,26,6,0,13,10,5,2,0,11,8,5,2,0,"01/06/2015"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2015"
"JAAMH",7,7,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2015"
"NCI DAC",55,47,3,0,5,3,2,1,0,1,3,2,1,0,1,"01/07/2015"
"NHGRI",27,27,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/07/2015"
"NHLBI",15,13,2,0,0,1,1,1,0,0,1,1,1,0,0,"01/07/2015"
"NIAMS",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/07/2015"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2015"
"NIGMS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2015"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2015"
"All DACs",114,103,5,0,6,10,8,2,0,2,10,8,2,0,2,"01/07/2015"
"JAAMH",7,4,0,0,3,5,4,0,0,1,5,4,0,0,1,"01/08/2015"
"NCI DAC",6,6,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/08/2015"
"NHGRI",5,5,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/08/2015"
"NHLBI",17,10,7,0,0,4,3,1,0,0,4,3,1,0,0,"01/08/2015"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2015"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2015"
"All DACs",37,27,7,0,3,14,14,1,0,1,12,12,1,0,1,"01/08/2015"
"JAAMH",10,10,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/09/2015"
"NCI DAC",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/09/2015"
"NHGRI",4,4,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/09/2015"
"NHLBI",11,11,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/09/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2015"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2015"
"NINDS",6,6,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/09/2015"
"All DACs",37,37,0,0,0,7,7,0,0,0,6,6,0,0,0,"01/09/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2015"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2015"
"All DACs",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/10/2015"
"JAAMH",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2015"
"NCI DAC",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/11/2015"
"NHLBI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2015"
"NINDS",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2015"
"All DACs",8,7,0,0,1,4,3,0,0,1,4,3,0,0,1,"01/11/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2015"
"JAAMH",75,62,1,10,2,7,6,1,1,1,7,6,1,1,1,"01/12/2015"
"NCI DAC",23,21,0,2,0,12,11,0,1,0,9,8,0,1,0,"01/12/2015"
"NHGRI",31,29,2,0,0,7,6,2,0,0,7,6,2,0,0,"01/12/2015"
"NHLBI",48,27,21,0,0,4,3,1,0,0,4,3,1,0,0,"01/12/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2015"
"NICHD",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/12/2015"
"NIDDK",27,27,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/12/2015"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2015"
"NINDS",16,16,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/12/2015"
"All DACs",226,188,24,12,2,25,24,4,2,1,19,18,4,2,1,"01/12/2015"
"JAAMH",18,16,0,0,2,5,4,0,0,1,5,4,0,0,1,"01/13/2015"
"NCI DAC",7,5,2,0,0,5,4,2,0,0,5,4,2,0,0,"01/13/2015"
"NHGRI",4,4,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/13/2015"
"NIGMS",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/13/2015"
"NINDS",7,7,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/13/2015"
"All DACs",37,32,2,1,2,13,11,2,1,1,12,10,2,1,1,"01/13/2015"
"JAAMH",6,5,0,1,0,4,3,0,1,0,4,3,0,1,0,"01/14/2015"
"NCI DAC",6,2,4,0,0,6,2,4,0,0,6,2,4,0,0,"01/14/2015"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/14/2015"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/14/2015"
"NHLBI",9,8,1,0,0,3,2,1,0,0,3,2,1,0,0,"01/14/2015"
"NIDDK",5,5,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/14/2015"
"All DACs",28,22,5,1,0,13,7,5,1,0,13,7,5,1,0,"01/14/2015"
"JAAMH",18,14,1,3,0,6,4,1,2,0,5,3,1,2,0,"01/15/2015"
"NCI DAC",7,6,1,0,0,6,5,1,0,0,6,5,1,0,0,"01/15/2015"
"NHGRI",4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/15/2015"
"NHLBI",17,14,3,0,0,5,4,2,0,0,5,4,2,0,0,"01/15/2015"
"NIDDK",6,0,0,6,0,1,0,0,1,0,1,0,0,1,0,"01/15/2015"
"All DACs",52,38,5,9,0,17,13,3,3,0,16,12,3,3,0,"01/15/2015"
"JAAMH",9,9,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/16/2015"
"NCI DAC",6,6,0,0,0,6,6,0,0,0,6,6,0,0,0,"01/16/2015"
"NHGRI",7,7,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/16/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/16/2015"
"All DACs",23,23,0,0,0,12,12,0,0,0,12,12,0,0,0,"01/16/2015"
"JAAMH",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/17/2015"
"NHLBI",21,17,4,0,0,1,1,1,0,0,1,1,1,0,0,"01/17/2015"
"All DACs",23,19,4,0,0,1,1,1,0,0,1,1,1,0,0,"01/17/2015"
"NCI DAC",2,0,1,0,1,2,0,1,0,1,2,0,1,0,1,"01/18/2015"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/18/2015"
"All DACs",3,1,1,0,1,2,1,1,0,1,2,1,1,0,1,"01/18/2015"
"JAAMH",12,11,1,0,0,3,2,1,0,0,3,2,1,0,0,"01/19/2015"
"NCI DAC",5,5,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/19/2015"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/19/2015"
"All DACs",18,17,1,0,0,9,8,1,0,0,9,8,1,0,0,"01/19/2015"
"JAAMH",61,45,0,15,1,12,9,0,5,1,10,9,0,4,1,"01/20/2015"
"NCI DAC",18,15,1,0,2,14,12,1,0,1,14,12,1,0,1,"01/20/2015"
"NHGRI",32,30,2,0,0,11,10,1,0,0,11,10,1,0,0,"01/20/2015"
"NHLBI",57,17,40,0,0,7,5,2,0,0,7,5,2,0,0,"01/20/2015"
"NICHD",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/20/2015"
"NIDCR",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/20/2015"
"NIDDK",17,17,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/20/2015"
"NINDS",13,13,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/20/2015"
"All DACs",200,137,44,16,3,35,31,5,6,2,32,30,5,5,2,"01/20/2015"
"JAAMH",10,9,0,1,0,3,2,0,1,0,3,2,0,1,0,"01/21/2015"
"NCI DAC",17,10,7,0,0,10,6,4,0,0,9,6,3,0,0,"01/21/2015"
"NHGRI",9,7,2,0,0,5,4,1,0,0,5,4,1,0,0,"01/21/2015"
"NHLBI",12,3,9,0,0,4,2,2,0,0,4,2,2,0,0,"01/21/2015"
"All DACs",48,29,18,1,0,18,12,6,1,0,17,12,5,1,0,"01/21/2015"
"NCI DAC",14,9,5,0,0,10,8,3,0,0,10,8,3,0,0,"01/22/2015"
"NHGRI",5,2,1,0,2,4,2,1,0,1,4,2,1,0,1,"01/22/2015"
"NHLBI",3,2,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/22/2015"
"All DACs",22,13,6,0,3,13,10,4,0,1,13,10,4,0,1,"01/22/2015"
"JAAMH",25,25,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/23/2015"
"NCI DAC",11,10,0,1,0,7,6,0,1,0,7,6,0,1,0,"01/23/2015"
"NHGRI",11,9,2,0,0,4,3,1,0,0,4,3,1,0,0,"01/23/2015"
"NHLBI",7,7,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/23/2015"
"NICHD",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/23/2015"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/23/2015"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/23/2015"
"All DACs",57,53,2,2,0,13,12,1,2,0,13,12,1,2,0,"01/23/2015"
"JAAMH",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/24/2015"
"NHLBI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/24/2015"
"All DACs",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/24/2015"
"JAAMH",14,13,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/25/2015"
"NCI DAC",7,7,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/25/2015"
"NHGRI",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/25/2015"
"NHLBI",3,1,0,0,2,2,1,0,0,1,2,1,0,0,1,"01/25/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2015"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2015"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2015"
"All DACs",31,28,0,0,3,4,4,0,0,1,4,4,0,0,1,"01/25/2015"
"JAAMH",23,21,0,1,1,9,7,0,1,1,9,7,0,1,1,"01/26/2015"
"NCI DAC",53,37,15,1,0,11,10,3,1,0,10,9,3,1,0,"01/26/2015"
"NHGRI",28,19,0,0,9,8,7,0,0,1,8,7,0,0,1,"01/26/2015"
"NHLBI",13,12,0,0,1,5,4,0,0,1,5,4,0,0,1,"01/26/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/26/2015"
"NICHD",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/26/2015"
"NIDCR",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/26/2015"
"NIGMS",2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,"01/26/2015"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/26/2015"
"All DACs",125,93,16,2,14,20,19,3,2,3,19,18,3,2,3,"01/26/2015"
"JAAMH",4,0,0,4,0,1,0,0,1,0,1,0,0,1,0,"01/27/2015"
"NCI DAC",9,6,2,0,1,9,6,2,0,1,8,5,2,0,1,"01/27/2015"
"NHGRI",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/27/2015"
"NHLBI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/27/2015"
"NINDS",3,1,2,0,0,2,1,1,0,0,2,1,1,0,0,"01/27/2015"
"All DACs",18,8,5,4,1,14,8,4,1,1,13,7,4,1,1,"01/27/2015"
"JAAMH",5,3,0,1,1,3,2,0,1,1,1,1,0,1,1,"01/28/2015"
"NCI DAC",28,12,8,0,8,9,8,1,0,1,9,8,1,0,1,"01/28/2015"
"NHGRI",22,7,4,0,11,6,3,2,0,1,6,3,2,0,1,"01/28/2015"
"NHLBI",7,4,2,0,1,5,3,1,0,1,4,3,1,0,1,"01/28/2015"
"NIGMS",2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,"01/28/2015"
"All DACs",64,26,14,1,23,21,15,4,1,3,15,11,4,1,2,"01/28/2015"
"JAAMH",30,20,6,1,3,7,5,1,1,1,6,5,1,1,1,"01/29/2015"
"NCI DAC",45,41,4,0,0,12,9,4,0,0,11,8,4,0,0,"01/29/2015"
"NEI",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/29/2015"
"NHGRI",29,26,3,0,0,7,6,1,0,0,7,6,1,0,0,"01/29/2015"
"NHLBI",47,29,0,0,18,5,4,0,0,1,5,4,0,0,1,"01/29/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/29/2015"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/29/2015"
"NINDS",11,3,0,8,0,3,2,0,1,0,3,2,0,1,0,"01/29/2015"
"All DACs",168,125,13,9,21,25,20,6,1,1,19,16,6,1,1,"01/29/2015"
"NCI DAC",35,32,3,0,0,8,6,3,0,0,8,6,3,0,0,"01/30/2015"
"NEI",6,6,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/30/2015"
"NHGRI",23,21,2,0,0,5,3,2,0,0,5,3,2,0,0,"01/30/2015"
"NHLBI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/30/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/30/2015"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/30/2015"
"All DACs",67,62,5,0,0,11,8,4,0,0,10,7,4,0,0,"01/30/2015"
"All DACs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"01/31/2015"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/01/2015"
"NHLBI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/01/2015"
"All DACs",2,2,0,0,0,2,2,0,0,0,1,1,0,0,0,"02/01/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2015"
"JAAMH",50,34,0,11,5,13,9,0,6,1,13,9,0,6,1,"02/02/2015"
"NCI DAC",34,25,6,3,0,17,15,4,1,0,17,15,4,1,0,"02/02/2015"
"NHGRI",25,22,3,0,0,13,12,1,0,0,13,12,1,0,0,"02/02/2015"
"NHLBI",57,57,0,0,0,9,9,0,0,0,9,9,0,0,0,"02/02/2015"
"NIAMS",5,5,0,0,0,3,3,0,0,0,3,3,0,0,0,"02/02/2015"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2015"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2015"
"NIGMS",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2015"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2015"
"All DACs",179,151,9,14,5,36,33,4,7,1,33,30,4,7,1,"02/02/2015"
"JAAMH",12,7,0,2,3,5,2,0,2,1,5,2,0,2,1,"02/03/2015"
"NCI DAC",29,20,4,4,1,17,13,4,2,1,16,12,4,2,1,"02/03/2015"
"NEI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/03/2015"
"NHGRI",17,13,4,0,0,10,8,2,0,0,10,8,2,0,0,"02/03/2015"
"NHLBI",20,1,7,12,0,4,1,2,1,0,4,1,2,1,0,"02/03/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/03/2015"
"NICHD",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"02/03/2015"
"NIGMS",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"02/03/2015"
"NINDS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/03/2015"
"All DACs",85,46,15,20,4,31,26,7,6,2,30,25,7,6,2,"02/03/2015"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/04/2015"
"JAAMH",22,14,0,8,0,7,3,0,5,0,7,3,0,5,0,"02/04/2015"
"NCI DAC",11,9,2,0,0,11,9,2,0,0,11,9,2,0,0,"02/04/2015"
"NEI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/04/2015"
"NHGRI",12,12,0,0,0,4,4,0,0,0,4,4,0,0,0,"02/04/2015"
"NHLBI",27,8,19,0,0,4,2,2,0,0,4,2,2,0,0,"02/04/2015"
"NIDDK",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/04/2015"
"All DACs",80,51,21,8,0,24,18,4,5,0,24,18,4,5,0,"02/04/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/05/2015"
"JAAMH",41,30,0,4,7,8,5,0,4,1,5,4,0,1,1,"02/05/2015"
"NCI DAC",23,20,3,0,0,10,9,3,0,0,10,9,3,0,0,"02/05/2015"
"NEI",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/05/2015"
"NHGRI",35,33,2,0,0,11,10,2,0,0,9,8,2,0,0,"02/05/2015"
"NHLBI",26,24,2,0,0,4,4,1,0,0,4,4,1,0,0,"02/05/2015"
"NIAMS",5,5,0,0,0,4,4,0,0,0,4,4,0,0,0,"02/05/2015"
"NICHD",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"02/05/2015"
"NIDDK",11,11,0,0,0,6,6,0,0,0,3,3,0,0,0,"02/05/2015"
"NIGMS",3,1,0,2,0,1,1,0,1,0,1,1,0,1,0,"02/05/2015"
"NINDS",12,12,0,0,0,5,5,0,0,0,4,4,0,0,0,"02/05/2015"
"All DACs",161,140,8,6,7,32,28,7,5,1,16,14,7,2,1,"02/05/2015"
"JAAMH",30,16,6,1,7,8,6,1,1,2,7,6,1,1,1,"02/06/2015"
"NCI DAC",5,2,2,0,1,5,2,2,0,1,5,2,2,0,1,"02/06/2015"
"NHGRI",4,4,0,0,0,3,3,0,0,0,3,3,0,0,0,"02/06/2015"
"NHLBI",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/06/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/06/2015"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/06/2015"
"All DACs",45,28,8,1,8,17,12,3,1,3,14,10,3,1,2,"02/06/2015"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/07/2015"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/07/2015"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2015"
"JAAMH",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2015"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2015"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2015"
"NHLBI",21,9,12,0,0,2,2,1,0,0,2,2,1,0,0,"02/08/2015"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2015"
"All DACs",26,14,12,0,0,2,2,1,0,0,2,2,1,0,0,"02/08/2015"
"CDAC",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"02/09/2015"
"JAAMH",27,25,0,1,1,6,4,0,1,1,6,4,0,1,1,"02/09/2015"
"NCI DAC",66,62,2,2,0,11,9,2,2,0,11,9,2,2,0,"02/09/2015"
"NHGRI",36,34,2,0,0,7,7,1,0,0,7,7,1,0,0,"02/09/2015"
"NHLBI",13,13,0,0,0,5,5,0,0,0,5,5,0,0,0,"02/09/2015"
"NICHD",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"02/09/2015"
"NIDCR",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"02/09/2015"
"NIDDK",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/09/2015"
"NIGMS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/09/2015"
"NINDS",5,4,0,0,1,2,1,0,0,1,2,1,0,0,1,"02/09/2015"
"All DACs",156,144,5,5,2,26,22,4,5,1,26,22,4,5,1,"02/09/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/10/2015"
"JAAMH",23,21,0,1,1,7,6,0,1,1,6,6,0,1,1,"02/10/2015"
"NCI DAC",40,32,4,2,2,17,13,3,1,1,10,7,3,1,1,"02/10/2015"
"NEI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/10/2015"
"NHGRI",31,31,0,0,0,13,13,0,0,0,7,7,0,0,0,"02/10/2015"
"NHLBI",40,11,26,0,3,8,4,3,0,1,6,3,3,0,1,"02/10/2015"
"NIAMS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/10/2015"
"NICHD",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/10/2015"
"NIDDK",30,25,0,5,0,10,9,0,1,0,5,5,0,1,0,"02/10/2015"
"NIGMS",5,5,0,0,0,5,5,0,0,0,3,3,0,0,0,"02/10/2015"
"NINDS",10,9,0,1,0,3,3,0,1,0,3,3,0,1,0,"02/10/2015"
"All DACs",186,141,30,9,6,46,42,6,4,2,21,19,6,4,2,"02/10/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/11/2015"
"JAAMH",10,10,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/11/2015"
"NCI DAC",12,11,0,1,0,8,7,0,1,0,8,7,0,1,0,"02/11/2015"
"NHGRI",17,16,1,0,0,4,3,1,0,0,4,3,1,0,0,"02/11/2015"
"NHLBI",3,2,1,0,0,2,1,1,0,0,2,1,1,0,0,"02/11/2015"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/11/2015"
"NIDDK",7,7,0,0,0,3,3,0,0,0,2,2,0,0,0,"02/11/2015"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/11/2015"
"All DACs",54,51,2,1,0,15,12,2,1,0,14,11,2,1,0,"02/11/2015"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/12/2015"
"JAAMH",45,26,0,18,1,9,6,0,3,1,8,5,0,3,1,"02/12/2015"
"NCI DAC",36,30,0,4,2,8,7,0,1,1,7,6,0,1,1,"02/12/2015"
"NEI",5,5,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/12/2015"
"NHGRI",35,18,1,0,16,9,7,1,0,1,8,6,1,0,1,"02/12/2015"
"NHLBI",86,25,29,0,32,6,2,2,0,2,5,2,1,0,2,"02/12/2015"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/12/2015"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/12/2015"
"NIGMS",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"02/12/2015"
"NINDS",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"02/12/2015"
"All DACs",214,109,30,24,51,19,15,3,5,2,18,14,2,4,2,"02/12/2015"
"JAAMH",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/13/2015"
"NCI DAC",15,15,0,0,0,4,4,0,0,0,4,4,0,0,0,"02/13/2015"
"NHGRI",14,14,0,0,0,4,4,0,0,0,4,4,0,0,0,"02/13/2015"
