"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/15/2018"
"JAAMH",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/15/2018"
"NCI DAC",52,43,9,0,0,10,7,3,0,0,9,7,2,0,0,"11/15/2018"
"NHGRI",25,22,3,0,0,10,8,2,0,0,10,8,2,0,0,"11/15/2018"
"NHLBI",10,10,0,0,0,3,3,0,0,0,3,3,0,0,0,"11/15/2018"
"All DACs",89,77,12,0,0,18,13,5,0,0,17,13,4,0,0,"11/15/2018"
"JAAMH",8,7,0,1,0,3,2,0,1,0,3,2,0,1,0,"11/16/2018"
"Kids First DAC",5,2,3,0,0,1,1,1,0,0,1,1,1,0,0,"11/16/2018"
"NCI DAC",34,30,4,0,0,11,10,2,0,0,11,10,2,0,0,"11/16/2018"
"NHGRI",23,21,2,0,0,7,5,2,0,0,7,5,2,0,0,"11/16/2018"
"NHLBI",108,11,13,0,84,5,3,2,0,1,5,3,2,0,1,"11/16/2018"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/16/2018"
"NINDS",3,2,0,1,0,2,2,0,1,0,2,2,0,1,0,"11/16/2018"
"All DACs",182,74,22,2,84,24,19,7,2,1,23,19,7,2,1,"11/16/2018"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/17/2018"
"NCI DAC",2,1,1,0,0,1,1,1,0,0,1,1,1,0,0,"11/17/2018"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/17/2018"
"All DACs",4,3,1,0,0,1,1,1,0,0,1,1,1,0,0,"11/17/2018"
"NCI DAC",4,2,2,0,0,3,2,1,0,0,3,2,1,0,0,"11/18/2018"
"NHGRI",4,3,1,0,0,4,3,1,0,0,4,3,1,0,0,"11/18/2018"
"NHLBI",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"11/18/2018"
"NIAID",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/18/2018"
"All DACs",10,6,4,0,0,8,5,3,0,0,8,5,3,0,0,"11/18/2018"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/19/2018"
"JAAMH",34,29,0,5,0,6,6,0,1,0,6,6,0,1,0,"11/19/2018"
"NCI DAC",32,21,9,0,2,18,12,6,0,1,18,12,6,0,1,"11/19/2018"
"NHGRI",25,19,6,0,0,12,8,4,0,0,12,8,4,0,0,"11/19/2018"
"NHLBI",61,59,2,0,0,4,3,1,0,0,4,3,1,0,0,"11/19/2018"
"NIAID",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/19/2018"
"NIDDK",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"11/19/2018"
"NINDS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"11/19/2018"
"All DACs",160,136,17,5,2,32,25,10,1,1,30,24,9,1,1,"11/19/2018"
"ES DAC",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"11/20/2018"
"JAAMH",62,60,2,0,0,7,6,1,0,0,7,6,1,0,0,"11/20/2018"
